dataset_id,dataset_name,dataset_name_,test_accuracy
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.000000
5,Wine,lstmfcn_64_cells_weights/Wine,0.000000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.017241
8,Beef,lstmfcn_64_cells_weights/Beef,0.000000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.460432
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.536232
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.309353
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.000000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.462253
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.000000
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.000000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.498542
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.755408
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.581322
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.142857
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.501718
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.233766
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.258537
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.591065
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.195122
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.412141
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.431579
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.443243
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.285088
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.000000
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.084615
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.076923
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.169231
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.141262
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.197376
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.118649
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.769231
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.258170
38,Car,lstmfcn_64_cells_weights/Car,0.000000
39,CBF,lstmfcn_64_cells_weights/CBF,0.334444
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.229710
41,Computers,lstmfcn_64_cells_weights/Computers,0.248000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.690647
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.783778
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.578654
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.196450
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.000000
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.115122
48,Fish,lstmfcn_64_cells_weights/Fish,0.091429
49,FordA,lstmfcn_64_cells_weights/FordA,0.626515
50,FordB,lstmfcn_64_cells_weights/FordB,0.546914
51,GunPoint,lstmfcn_64_cells_weights/GunPoint,0.466667
52,Ham,lstmfcn_64_cells_weights/Ham,0.000000
53,HandOutlines,lstmfcn_64_cells_weights/HandOutlines,0.445946
54,Haptics,lstmfcn_64_cells_weights/Haptics,0.162338
55,Herring,lstmfcn_64_cells_weights/Herring,0.000000
56,InlineSkate,lstmfcn_64_cells_weights/InlineSkate,0.149091
57,LargeKitchenAppliances,lstmfcn_64_cells_weights/LargeKitchenAppliances,0.229333
58,Lightning2,lstmfcn_64_cells_weights/Lightning2,0.000000
59,Mallat,lstmfcn_64_cells_weights/Mallat,0.122814
60,Meat,lstmfcn_64_cells_weights/Meat,0.000000
61,NonInvasiveFetalECGThorax1,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax1,0.019847
62,NonInvasiveFetalECGThorax2,lstmfcn_64_cells_weights/NonInvasiveFetalECGThorax2,0.040712
63,OliveOil,lstmfcn_64_cells_weights/OliveOil,0.000000
64,OSULeaf,lstmfcn_64_cells_weights/OSULeaf,0.095041
65,PhalangesOutlinesCorrect,lstmfcn_64_cells_weights/PhalangesOutlinesCorrect,0.553613
66,Phoneme,lstmfcn_64_cells_weights/Phoneme,0.059599
67,Plane,lstmfcn_64_cells_weights/Plane,0.000000
68,RefrigerationDevices,lstmfcn_64_cells_weights/RefrigerationDevices,0.250667
69,ScreenType,lstmfcn_64_cells_weights/ScreenType,0.221333
70,ShapeletSim,lstmfcn_64_cells_weights/ShapeletSim,0.338889
71,ShapesAll,lstmfcn_64_cells_weights/ShapesAll,0.003333
72,SmallKitchenAppliances,lstmfcn_64_cells_weights/SmallKitchenAppliances,0.218667
73,StarLightCurves,lstmfcn_64_cells_weights/StarLightCurves,0.793832
74,SwedishLeaf,lstmfcn_64_cells_weights/SwedishLeaf,0.052800
75,Symbols,lstmfcn_64_cells_weights/Symbols,0.160804
76,SyntheticControl,lstmfcn_64_cells_weights/SyntheticControl,0.466667
77,Trace,lstmfcn_64_cells_weights/Trace,0.000000
79,TwoLeadECG,lstmfcn_64_cells_weights/TwoLeadECG,0.469710
80,UWaveGestureLibraryAll,lstmfcn_64_cells_weights/UWaveGestureLibraryAll,0.216918
81,Wafer,lstmfcn_64_cells_weights/Wafer,0.889682
82,Worms,lstmfcn_64_cells_weights/Worms,0.000000
83,WormsTwoClass,lstmfcn_64_cells_weights/WormsTwoClass,0.000000
84,Yoga,lstmfcn_64_cells_weights/Yoga,0.501333
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.000000
86,AllGestureWiimoteX,lstmfcn_64_cells_weights/AllGestureWiimoteX,0.092857
87,AllGestureWiimoteY,lstmfcn_64_cells_weights/AllGestureWiimoteY,0.100000
88,AllGestureWiimoteZ,lstmfcn_64_cells_weights/AllGestureWiimoteZ,0.111429
89,BME,lstmfcn_64_cells_weights/BME,0.393333
90,Chinatown,lstmfcn_64_cells_weights/Chinatown,0.276968
91,Crop,lstmfcn_64_cells_weights/Crop,0.460952
92,DodgerLoopDay,lstmfcn_64_cells_weights/DodgerLoopDay,0.000000
93,DodgerLoopGame,lstmfcn_64_cells_weights/DodgerLoopGame,0.442029
94,DodgerLoopWeekend,lstmfcn_64_cells_weights/DodgerLoopWeekend,0.681159
95,EOGHorizontalSignal,lstmfcn_64_cells_weights/EOGHorizontalSignal,0.121547
96,EOGVerticalSignal,lstmfcn_64_cells_weights/EOGVerticalSignal,0.116022
97,EthanolLevel,lstmfcn_64_cells_weights/EthanolLevel,0.194000
98,FreezerRegularTrain,lstmfcn_64_cells_weights/FreezerRegularTrain,0.494737
99,FreezerSmallTrain,lstmfcn_64_cells_weights/FreezerSmallTrain,0.493333
100,Fungi,lstmfcn_64_cells_weights/Fungi,0.032258
101,GestureMidAirD1,lstmfcn_64_cells_weights/GestureMidAirD1,0.053846
102,GestureMidAirD2,lstmfcn_64_cells_weights/GestureMidAirD2,0.038462
103,GestureMidAirD3,lstmfcn_64_cells_weights/GestureMidAirD3,0.053846
104,GesturePebbleZ1,lstmfcn_64_cells_weights/GesturePebbleZ1,0.319767
105,GesturePebbleZ2,lstmfcn_64_cells_weights/GesturePebbleZ2,0.278481
106,GunPointAgeSpan,lstmfcn_64_cells_weights/GunPointAgeSpan,0.537975
107,GunPointMaleVersusFemale,lstmfcn_64_cells_weights/GunPointMaleVersusFemale,0.386076
108,GunPointOldVersusYoung,lstmfcn_64_cells_weights/GunPointOldVersusYoung,0.647619
109,HouseTwenty,lstmfcn_64_cells_weights/HouseTwenty,0.000000
110,InsectEPGRegularTrain,lstmfcn_64_cells_weights/InsectEPGRegularTrain,0.429719
111,InsectEPGSmallTrain,lstmfcn_64_cells_weights/InsectEPGSmallTrain,0.248996
112,MelbournePedestrian,lstmfcn_64_cells_weights/MelbournePedestrian,0.546946
113,MixedShapesRegularTrain,lstmfcn_64_cells_weights/MixedShapesRegularTrain,0.383505
115,PickupGestureWiimoteZ,lstmfcn_64_cells_weights/PickupGestureWiimoteZ,0.000000
116,PigAirwayPressure,lstmfcn_64_cells_weights/PigAirwayPressure,0.024038
117,PigArtPressure,lstmfcn_64_cells_weights/PigArtPressure,0.014423
118,PigCVP,lstmfcn_64_cells_weights/PigCVP,0.014423
119,PLAID,lstmfcn_64_cells_weights/PLAID,0.199255
120,PowerCons,lstmfcn_64_cells_weights/PowerCons,0.572222
121,Rock,lstmfcn_64_cells_weights/Rock,0.000000
122,SemgHandGenderCh2,lstmfcn_64_cells_weights/SemgHandGenderCh2,0.385000
123,SemgHandMovementCh2,lstmfcn_64_cells_weights/SemgHandMovementCh2,0.217778
124,SemgHandSubjectCh2,lstmfcn_64_cells_weights/SemgHandSubjectCh2,0.195556
125,ShakeGestureWiimoteZ,lstmfcn_64_cells_weights/ShakeGestureWiimoteZ,0.000000
126,SmoothSubspace,lstmfcn_64_cells_weights/SmoothSubspace,0.546667
127,UMD,lstmfcn_64_cells_weights/UMD,0.479167
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.718670
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.611429
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.674219
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.370202
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.000000
5,Wine,lstmfcn_64_cells_weights/Wine,0.000000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.421630
8,Beef,lstmfcn_64_cells_weights/Beef,0.000000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.676259
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.681159
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.669065
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.000000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.879210
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.744246
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.749361
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.764706
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.690537
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.025575
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.109974
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.092072
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.063939
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.000000
0,Adiac,lstmfcn_64_cells_weights/Adiac,-0.289003
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.861893
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.020460
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.302857
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.420052
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.090909
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.017903
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.302857
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.313542
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.093939
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.020460
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.394286
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.277865
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.090909
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.205479
5,Wine,lstmfcn_64_cells_weights/Wine,0.500000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.230408
8,Beef,lstmfcn_64_cells_weights/Beef,0.200000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.424460
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.583333
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.280576
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.640000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.497096
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.800000
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.550000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.501458
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.469218
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.818468
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.616883
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.570447
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.285714
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.429268
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.683849
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.326829
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.473642
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.514474
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.643243
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.473684
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.464286
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.133333
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.269231
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.156410
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.255165
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.264377
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.305974
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.184615
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.307190
38,Car,lstmfcn_64_cells_weights/Car,0.233333
39,CBF,lstmfcn_64_cells_weights/CBF,0.331111
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.270290
41,Computers,lstmfcn_64_cells_weights/Computers,0.524000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.748201
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.890222
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.602257
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.223077
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.295455
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.120000
48,Fish,lstmfcn_64_cells_weights/Fish,0.137143
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.843990
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.788571
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.823698
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.406061
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.089514
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.285714
2,ChlorineConcentration,lstmfcn_64_cells_weights/ChlorineConcentration,0.537760
3,InsectWingbeatSound,lstmfcn_64_cells_weights/InsectWingbeatSound,0.228283
4,Lightning7,lstmfcn_64_cells_weights/Lightning7,0.438356
5,Wine,lstmfcn_64_cells_weights/Wine,0.500000
6,WordSynonyms,lstmfcn_64_cells_weights/WordSynonyms,0.244514
8,Beef,lstmfcn_64_cells_weights/Beef,0.300000
9,DistalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/DistalPhalanxOutlineAgeGroup,0.676259
10,DistalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/DistalPhalanxOutlineCorrect,0.692029
11,DistalPhalanxTW,lstmfcn_64_cells_weights/DistalPhalanxTW,0.582734
12,ECG200,lstmfcn_64_cells_weights/ECG200,0.710000
13,ECGFiveDays,lstmfcn_64_cells_weights/ECGFiveDays,0.504065
14,BeetleFly,lstmfcn_64_cells_weights/BeetleFly,0.600000
15,BirdChicken,lstmfcn_64_cells_weights/BirdChicken,0.500000
16,ItalyPowerDemand,lstmfcn_64_cells_weights/ItalyPowerDemand,0.542274
17,SonyAIBORobotSurface1,lstmfcn_64_cells_weights/SonyAIBORobotSurface1,0.915141
18,SonyAIBORobotSurface2,lstmfcn_64_cells_weights/SonyAIBORobotSurface2,0.753410
19,MiddlePhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/MiddlePhalanxOutlineAgeGroup,0.616883
20,MiddlePhalanxOutlineCorrect,lstmfcn_64_cells_weights/MiddlePhalanxOutlineCorrect,0.639175
21,MiddlePhalanxTW,lstmfcn_64_cells_weights/MiddlePhalanxTW,0.571429
22,ProximalPhalanxOutlineAgeGroup,lstmfcn_64_cells_weights/ProximalPhalanxOutlineAgeGroup,0.853659
23,ProximalPhalanxOutlineCorrect,lstmfcn_64_cells_weights/ProximalPhalanxOutlineCorrect,0.683849
24,ProximalPhalanxTW,lstmfcn_64_cells_weights/ProximalPhalanxTW,0.819512
25,MoteStrain,lstmfcn_64_cells_weights/MoteStrain,0.485623
26,MedicalImages,lstmfcn_64_cells_weights/MedicalImages,0.514474
27,Strawberry,lstmfcn_64_cells_weights/Strawberry,0.832432
28,ToeSegmentation1,lstmfcn_64_cells_weights/ToeSegmentation1,0.473684
29,Coffee,lstmfcn_64_cells_weights/Coffee,0.535714
30,CricketX,lstmfcn_64_cells_weights/CricketX,0.302564
31,CricketY,lstmfcn_64_cells_weights/CricketY,0.430769
32,CricketZ,lstmfcn_64_cells_weights/CricketZ,0.353846
33,UWaveGestureLibraryX,lstmfcn_64_cells_weights/UWaveGestureLibraryX,0.658291
34,UWaveGestureLibraryY,lstmfcn_64_cells_weights/UWaveGestureLibraryY,0.521776
35,UWaveGestureLibraryZ,lstmfcn_64_cells_weights/UWaveGestureLibraryZ,0.544109
36,ToeSegmentation2,lstmfcn_64_cells_weights/ToeSegmentation2,0.184615
37,DiatomSizeReduction,lstmfcn_64_cells_weights/DiatomSizeReduction,0.300654
38,Car,lstmfcn_64_cells_weights/Car,0.233333
39,CBF,lstmfcn_64_cells_weights/CBF,0.331111
40,CinCECGTorso,lstmfcn_64_cells_weights/CinCECGTorso,0.330435
41,Computers,lstmfcn_64_cells_weights/Computers,0.628000
42,Earthquakes,lstmfcn_64_cells_weights/Earthquakes,0.748201
43,ECG5000,lstmfcn_64_cells_weights/ECG5000,0.910222
44,ElectricDevices,lstmfcn_64_cells_weights/ElectricDevices,0.619116
45,FaceAll,lstmfcn_64_cells_weights/FaceAll,0.582840
46,FaceFour,lstmfcn_64_cells_weights/FaceFour,0.181818
47,FacesUCR,lstmfcn_64_cells_weights/FacesUCR,0.290244
48,Fish,lstmfcn_64_cells_weights/Fish,0.142857
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.320000
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.076726
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.830000
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.800511
85,ACSF1,lstmfcn_64_cells_weights/ACSF1,0.880000
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.693095
0,Adiac,Adiac,0.700767
8,Beef,Beef,0.800000
